metric,mean,std,median,min,max,variance
read_time_ms,3030.3030303030305,,3030.3030303030305,3030.3030303030305,3030.3030303030305,
write_time_ms,5416.666666666667,,5416.666666666667,5416.666666666667,5416.666666666667,
read_iops,,,,,,
write_iops,,,,,,
